name,price,status,shipping,free_returns,items_sold
Dog Man: Grime and Punishment: From the Creator of Captain Underpant - VERY GOOD,483,Pre-Owned,0,True,886
"Dog Man #8 - Hardcover By Pilkey, Dav - GOOD",444,Pre-Owned,0,True,2027
Brass Personalized Dog Tags Military Custom Engraved Pet Name ID Tag For Collar,595,Brand New,0,True,168
Pet Dog Clothes Puppy T Shirt Letter Clothing Small Dogs Puppy Chihuahua Vest ↷,232519,Brand New,0,False,
"2"" WIDE 3-PLY NYLON LARGE DOG COLLAR HEAVY DUTY PIT BULL COLLAR MADE IN USA",16991899,Brand New,0,False,
ACME 535 Silent DOG Puppy Training WHISTLE Command Adjustable High Pitch,2490,Brand New,0,True,658
4pcs Small Medium Large Dog Shoes Boots Paw Protector Reflective Strip Anti-slip,19992399,Brand New,0,False,278
Personalized Dog Cat Collar DIY Name Letter Small Pet Puppy Bling Leather Collar,8981088,Brand New,0,False,17
"Zofur Premium Retractable Dog Leash - 26 ft, Heavy-Duty for Dogs Up to 110 Lbs",1971,Brand New,0,False,144
1 Piece New Dog Pet Click Clicker Training Trainer Aid Wrist Strap Brand New,99,Brand New,0,False,
Summer Dog Pet Cat Clothing T Shirt For Small Dog Clothes Chihuahua Yorkshire‹,335,Brand New,0,False,
Tactical Dog Pet Collar Leash Heavy Duty K9 Military Service Canine Training Kit,8991499,Brand New,0,True,
Personalized Paw Glitter Dog Tags Engraved Cat Puppy Pet ID Name Collar Tag New,328398,Brand New,0,True,
"1"" Solid Premium Glow Tuff D Ring Dog Collar with Brass Name Plate",1095,Brand New,0,False,
Dog & Cat 11000Pa Pet Grooming Kit & Vacuum 2.5L Large Capacity + 4 Clipper Tool,3499,Excellent - Refurbished,0,True,156
"ALBCORP Reflective Service Dog Vest Harness, Woven Nylon with Adjustable Straps",16952395,Brand New,735,False,82
"18-22"" or custom size, Adjustable Paracord Dog Collar  ~Veteran Made~",1500,Brand New,0,True,
No Pull Dog Pet Harness Adjustable Control Vest Dogs Reflective XS S M Large XL,661811,Brand New,0,False,
Dog Skirt Pet Dress Cute Small Dog Princess Dress Chihuahua Puppy Cat Clothes US,352629,Brand New,0,False,
"Walter the Farting Dog - Hardcover By Kotzwinkle, William - VERY GOOD",398,Pre-Owned,0,True,1190
Soft Leather Padded Dog Collar Personalized Custom Pet Name Tag Engraved XS-XL,8541304,Brand New,0,False,
"FLEXI New Classic Cord Retractable Dog Leash for  Assorted Colors , Sizes ",10643980,Brand New,0,False,
Personalized Nylon dog collar engraved custom ID Tag Name / Number reflective ,8981168,Brand New,0,False,73
"Dog Door for Pets CEESC Up to 20 lb, Weatherproof Pet Door for Cats and Dogs,",4725,Pre-Owned,773,False,
"USED Dog Wheelchair for Back Legs,Size XS-XXL for small, medium and large dogs.",909928599,Pre-Owned,0,False,
Shop on eBay,2000,Brand New,0,False,
Shop on eBay,2000,Brand New,0,False,
*THE ONLY* LED SERVICE DOG LEASH ON THE MARKET (Large),2299,Brand New,499,False,
Pig chews for Dog - 100% Natural Pork Dog Treats (100 Count),14299,Brand New,0,False,1278
SERVICE DOG ID CARD WITH REGISTRATION - HOLOGRAPHIC,3599,Brand New,0,False,
BarItch™  Canine - Dog itch (pruritus) and allergy relief  - Low introductory $$,1499,Brand New,484,False,
USB RECHARGEABLE LED Light-up Flash GLOW COLLAR FOR Dog Pet Safety.Adjustable.,878996,Brand New,0,False,
CUSTOM ENGRAVED PERSONALIZED PET TAG ID DOG CAT NAME TAGS DOUBLE SIDE,599899,Brand New,0,False,51
Reflective Dog Collar Pet Cat Puppy Nylon Collar with Bell Neck Adjustable,336,Brand New,0,False,313
Pet ID Tag Custom Engraved Personalized Dog Cat Name Tages Double Side,229428,Brand New,0,True,
TSG Nylon Heavy Duty Dog Collar With Handle CanineTraining Walking,1101,Brand New,0,True,
POPULAR PETS | SPECIAL REQUESTS | EXOTICS,9921999,Brand New,0,False,
5FT Dog Leash Small and medium-sized Pet Rope Nylon Leads with Comfy Handle,400569,Brand New,0,True,
Auroth Tactical Dog Harness Adjustable Dog Vest with Handle - Blue/Orange Camo,1800,Brand New,0,False,
PETKIT 2 in 1 Electric Pet Waterproof Hair Trimmer for Dogs Cats,2599,Brand New,0,False,
DOGGIE DON’T® Device Blue - Dog Training - Humane & Safe- US Small Business,4195,Brand New,500,False,
"Used Dog Wheelchair For Back Legs, Small, Medium And Large Wheelchairs For Dogs",1027226779,Pre-Owned,0,False,
Beef Cheek Beef Basted chews (2 Pounds) Long Lasting Dog Chew by 123 Treats,3299,Brand New,0,False,32
Tactical Heavy Duty Nylon Large Dog Collar Military With Metal Buckle,8541798,Brand New,0,False,
Smart Auto Anti bark Dog Collar Intelligent Waterproof Barking Terminator Device,2999,Brand New,0,False,1135
Country Brook Petz® Deluxe Dog Collar - Camouflage Collection - U.S.A.,1099,Brand New,0,False,
"Leash + Collar Heavy Duty K9 Tactical Training Pet Dog Metal Buckle M, L, XL New",1599,Brand New,0,True,
TQT Dog Shock Collar - 3300Ft Dog Training Collar with Remote for 5-120lbs,3800,Brand New,0,False,430
rabbitgoo Military Tactical No Pull Dog Harness Adjustable Reflective Large Vest,10992398,Brand New,0,True,
Up Country Dog Collar Nuts and Squirrels Adjustable Made In USA  XS S M L XL XXL,23002600,Brand New,0,True,20
Dog LED Collar Blinking Night Flashing Light Up Glow Adjustable Pets Safety USA,389582,Brand New,0,False,260
FPN Pet Training Pads for Dogs Ultra-Absorbent Unscented Blue Pet Pads 4 Sizes,145011599,Brand New,0,True,
1000 Unscented Black Poop Bag Dog Waste Pick up Clean Bags core Made in USA,1944,Brand New,0,True,2221
LARGE SPLIT ELK ANTLER Premium Dog Chew 7”+ (1pc) **OREGON ANTLER WORKS**,1166,Brand New,0,True,10000
HappiTimz Dog Harness & Leash,795995,Brand New,0,True,
"Pure Balance Pro+ Large Breed Dog Food, Chicken & Brown Rice Recipe, 8 & 30 lbs",22996399,Brand New,0,True,
"USED Dog Wheelchair for Back Legs,Dog-Assisted Wheelchair for Injured Hind Legs",890424584,Pre-Owned,0,False,
Handmade Rattan Weave Whale Fish Nautical Dog Cat Bed Pets Nest House Cushion,6994,Brand New,1895,False,
"Made in Love Doggy Couture and Therapy Products Inc., Dog Calming Mask & Cap",3999,Brand New,0,False,
Wuffles Advanced Dog Hip & Joint Supplement for Small & Medium Breeds 60ct,3249,Brand New,0,False,
"Up Country Dog Collar, Purple Gingham, Adjustable Made In USA XS S M L XL XXL",23002600,Brand New,0,True,
Cat Dog Pet Harness Adjustable Control Vest Dogs Reflective S M L XL leash ,459495,Brand New,0,False,
